"X0" "X1" "X2" "X3" "X4" "X5"
12866.0033887384 16259.2056687399 16496.1064488507 18989.2221200552 20743.7317314261 21549.381518191
12198.2855384628 12193.8304789721 17150.6240913223 18417.0762084123 18540.2821959665 20505.3257524707
8987.34430551829 11314.50043757 13012.7715134084 11592.1176931558 13672.7290817104 15949.5669307373
19980.5479664129 24413.1219103143 26356.6732032366 29588.7713177617 31676.5409887029 32898.0568265161
10296.6566788666 12775.3090405812 10980.4030251312 9519.86607701306 11728.8337709282 12497.0374323127
14330.5644097761 18372.723961538 17385.0014348369 20370.8229153159 22466.1088200528 22789.1625894768
13605.3483131355 15686.7088603058 17256.8020146469 18606.6143477414 19990.9171103816 21157.489374979
16764.2747988654 18667.7565193835 20632.2563708258 21544.3226954355 23032.6681952945 24335.9250388865
4602.46767363402 4660.39168878686 5670.33446743724 5300.83872526206 5325.16386137078 6102.78758282228
14772.5611003315 17090.4775284332 18381.3241305503 18662.2330462449 20546.5065093117 21963.8475599931
12290.5779487174 14278.8636745416 16758.4314526624 17026.0935598175 18375.7621477924 20172.5001094774
5773.89006614156 8401.4454949249 8685.36258260084 10079.7560955436 11284.5629308202 12209.1306512014
11271.3725610168 15276.6218518803 15631.3466013865 17399.1942922271 19428.5114636909 20557.2001509144
9066.04261254613 8647.0007483296 13152.9590024179 13145.2824451514 13808.6445188999 16215.4113376493
6381.86596891732 7938.0217206475 8897.9681265461 10445.6065357335 10794.6069515789 11379.8294911844
18600.6960139844 19938.5415871039 22956.6663531663 22849.2418007232 24419.8352979554 26263.1376396958
