"X0" "X1" "X2" "X3" "X4" "X5"
2594.31972178078 99.1776059511594 2648.3900066644 4285.23091056491 1522.32816632732 574.680552475178
10872.1076948947 13210.6516630851 9201.12900956434 9173.42297055484 9980.38006264185 8035.46549879021
24386.0287005994 28500.9591218296 27206.6582204359 27609.207712118 30554.4483032257 30365.8210287444
8540.27952160546 5598.84582418087 7237.4695383303 4411.0889426408 3645.03209981995 3639.47351365431
21878.261597333 23313.2059705098 24365.7500667379 25371.4426436706 26004.2111050852 25408.5032445273
15298.9779188069 15041.6749918784 17619.3632805501 16888.3707643186 16434.6540374926 16517.4769025195
7915.08323765828 6566.21781401281 5793.93258292613 5236.16809204175 3872.05057186028 2182.68238497719
8355.49709013836 6295.46186509334 9834.68443282777 7260.2923305585 6097.16729149695 6775.65466253783
10500.5444999001 8890.02502950475 9367.16682102323 7900.64704176869 7512.57151761905 6863.17670195931
8033.1173892941 6361.39891258986 7747.62192047992 4225.47678775937 3962.12928855443 4322.48271527714
18204.3686177449 19021.4563912399 19665.0328737618 17285.6986867222 18585.1549067695 18789.3778832602
14934.567840418 16733.7808950045 16669.114727202 16097.1435836204 17166.4690266905 16959.4817270648
